id;diplome;nom;prenom;grade;email;telephone;statut;photo;photo_content_type
1;web-readiness Shoes a;copying;Frozen plum;Mme;Odilon_Morin54@hotmail.fr;+33 727993479;VACATAIRE;../fake-data/blob/hipster.png;image/png
2;generate;Bourgogne archive;Licensed Computer Pants;Ing;Garnier.Vasseur@gmail.com;+33 286204837;VACATAIRE;../fake-data/blob/hipster.png;image/png
3;Frozen Bedfordshire;East Delesseux 1080p;enable;M;Marine.Charles7@yahoo.fr;+33 414062378;PERMANENT;../fake-data/blob/hipster.png;image/png
4;a bandwidth-monitored digital;Grocery Leu;connecting;M;Aldric_Dupuis@hotmail.fr;+33 318652027;VACATAIRE;../fake-data/blob/hipster.png;image/png
5;fuchsia Health a;invoice Shirt a;schemas;Ing;Hincmar41@gmail.com;+33 633260540;PERMANENT;../fake-data/blob/hipster.png;image/png
6;Singapour Argentine Soap;Ergonomic;User-centric;Dr;Gatien59@gmail.com;0101152073;PERMANENT;../fake-data/blob/hipster.png;image/png
7;Computer;Personal Money Rubber;online;Ing;Venance22@gmail.com;+33 563699204;VACATAIRE;../fake-data/blob/hipster.png;image/png
8;Fresh Madagascar navigating;benchmark Stagiaire Account;SDD Bike Buckinghamshire;Ing;Acacie_Nguyen22@hotmail.fr;+33 284071037;VACATAIRE;../fake-data/blob/hipster.png;image/png
9;Chicken Account;mission-critical;backing silver HTTP;M;Angadrme_Picard@gmail.com;+33 339082100;PERMANENT;../fake-data/blob/hipster.png;image/png
10;didactic Account;Tasty;c Somalie Producteur;Pr;Audran52@hotmail.fr;+33 357874950;VACATAIRE;../fake-data/blob/hipster.png;image/png
